Date,Participant,Session,Block,Trial,Target,Stimulus,Stimulus Color,Reaction Time,stimulus presentation,blank presentation,jitter
20170201,122,1,4,15,A,t,red,0.12985491752624512,0.4,0.1,0.0414447677426844
20170201,122,1,4,16,A,t,magenta,0.0,0.4,0.1,0.1246976748567028
20170201,122,1,4,17,A,F,red,0.0,0.4,0.1,0.17716511831904888
20170201,122,1,4,18,A,D,black,0.0,0.4,0.1,0.046363720649920094
20170201,122,1,4,19,A,Q,black,0.0,0.4,0.1,0.12746169158635573
20170201,122,1,4,20,A,q,yellow,0.0,0.4,0.1,0.07181266799471764
20170201,122,1,4,21,A,G,magenta,0.0,0.4,0.1,0.12967655676159803
20170201,122,1,4,22,A,W,red,0.0,0.4,0.1,0.06297806921146165
20170201,122,1,4,23,A,g,red,0.0,0.4,0.1,0.11519587263919238
20170201,122,1,4,24,A,a,magenta,0.57987809181213379,0.4,0.1,0.006653228848738735
20170201,122,1,4,25,A,d,yellow,0.37991213798522949,0.4,0.1,0.14568486687648852
20170201,122,1,4,26,A,f,yellow,0.0,0.4,0.1,0.14176131226666241
20170201,122,1,4,27,A,P,black,0.0,0.4,0.1,0.14769537702477561
20170201,122,1,4,28,A,R,red,0.51292991638183594,0.4,0.1,0.06843488956929045
20170201,122,1,4,29,A,h,red,0.46328282356262207,0.4,0.1,0.1747167888946084
20170201,122,1,5,0,D,a,black,0.0,0.4,0.1,0.06796400400085936
20170201,122,1,5,1,D,g,black,0.0,0.4,0.1,0.14071576541302702
20170201,122,1,5,2,D,T,magenta,0.0,0.4,0.1,0.19367703400587943
20170201,122,1,5,3,D,Q,black,0.47965312004089355,0.4,0.1,0.052929023251620216
20170201,122,1,5,4,D,f,yellow,0.51353001594543457,0.4,0.1,0.09741555866241547
20170201,122,1,5,5,D,t,yellow,0.0,0.4,0.1,0.02576973481966485
20170201,122,1,5,6,D,W,magenta,0.0,0.4,0.1,0.019671206174788947
20170201,122,1,5,7,D,W,cyan,0.0,0.4,0.1,0.15722828649070786
20170201,122,1,5,8,D,q,yellow,0.0,0.4,0.1,0.06814169462781423
20170201,122,1,5,9,D,w,yellow,0.42997217178344727,0.4,0.1,0.011238144439578735
20170201,122,1,5,10,D,x,magenta,0.0,0.4,0.1,0.1450229900015265
20170201,122,1,5,11,D,A,yellow,0.0,0.4,0.1,0.04631215821966972
20170201,122,1,5,12,D,r,cyan,0.0,0.4,0.1,0.1197903920174973
20170201,122,1,5,13,D,Q,magenta,0.0,0.4,0.1,0.03961750141446033
20170201,122,1,5,14,D,Q,magenta,0.2132108211517334,0.4,0.1,0.17398039692209594
20170201,122,1,5,15,D,Q,red,0.12985491752624512,0.4,0.1,0.08982380075998397
20170201,122,1,5,16,D,R,black,0.0,0.4,0.1,0.15896657106861575
20170201,122,1,5,17,D,g,yellow,0.0,0.4,0.1,0.16198858974790029
20170201,122,1,5,18,D,G,yellow,0.0,0.4,0.1,0.12600140436310212
20170201,122,1,5,19,D,R,cyan,0.0,0.4,0.1,0.1891723687327314
20170201,122,1,5,20,D,P,red,0.0,0.4,0.1,0.02061017249066235
20170201,122,1,5,21,D,s,magenta,0.0,0.4,0.1,0.1960769674690004
20170201,122,1,5,22,D,F,magenta,0.0,0.4,0.1,0.15381067273348947
20170201,122,1,5,23,D,D,yellow,0.49639296531677246,0.4,0.1,0.13154434016470679
20170201,122,1,5,24,D,q,red,0.57987809181213379,0.4,0.1,0.04300002717699632
20170201,122,1,5,25,D,p,red,0.37991213798522949,0.4,0.1,0.10063632736408526
20170201,122,1,5,26,D,R,magenta,0.0,0.4,0.1,0.1640485301224475
20170201,122,1,5,27,D,s,cyan,0.0,0.4,0.1,0.0843148563464204
20170201,122,1,5,28,D,Q,red,0.51292991638183594,0.4,0.1,0.14018180617323517
20170201,122,1,5,29,D,R,red,0.46328282356262207,0.4,0.1,0.006901363521237536
20170201,122,1,6,0,T,d,black,0.0,0.4,0.1,0.07036005228251592
20170201,122,1,6,1,T,d,black,0.0,0.4,0.1,0.13129486469309518
20170201,122,1,6,2,T,x,red,0.0,0.4,0.1,0.11872947870683184
20170201,122,1,6,3,T,t,cyan,0.596405029296875,0.4,0.1,0.12800410554174696
20170201,122,1,6,4,T,x,black,0.51353001594543457,0.4,0.1,0.15052976778762192
20170201,122,1,6,5,T,G,magenta,0.0,0.4,0.1,0.13314598557457355
20170201,122,1,6,6,T,q,black,0.0,0.4,0.1,0.04018748948129883
